 NAME;formula;ALTERNATIVE_NAME;ANOTHER_NAME;"OSTATOK
";"KOMNATA
";SHKAFF;POLKA;KOMENT;CAS;Smiles
Dimethyl (1-diazo-2-oxopropyl)phosphonate;;Dimethyl 1-Diazoacetonylphosphonate;Ohira-Bestmann Reagent;15 ml;34.430;freezer 1;3;;;COP(=O)(OC)C(=[N+]=[N-])C(C)=O
ethyl 2-((methoxy(phenyl)methylene)amino)acetate;;ZS-287;;1 g;34.430;freezer 1;3;probably dead;;CCOC(=O)CN=C(OC)C1=CC=CC=C1
N-Boc-1,3-propanediamine;BocNHCH2CH2CH2NH2;N-Boc-1,3-diaminopropane;tert-Butyl N-(3-aminopropyl)carbamate;0.5 g;34.430;freezer 1;3;;;CC(C)(C)OC(=O)NCCCN
Amyl nitrite;;Isoamyl nitrite;3-methyl-1-nitrosooxybutane;2 x 100 ml;34.430;freezer 1;3;;;CCCCCON=O
ethyl 2-azidoacetate;;Ethyl azidoacetate;M3208;50 ml;34.430;freezer 1;3;;;CCOC(=O)CN=[N+]=[N-]
Ethyl nitroacetate;;Ethyl nitroacetate;;100 ml;34.430;freezer 1;3;;;CCOC(=O)C[N+]([O-])=O
furan-2,5-dicarbaldehyde;;2,5-Furandicarboxaldehyde;;;34.430;freezer 1;3;;;O=Cc1ccc(C=O)o1
methyl 4-chlorobenzimidate hydrochloride;;ZS176;imidate;12 g;34.430;fridge 1;2;;;ClC1=CC=C(C(OC)=N)C=C1.Cl
methyl benzimidate hydrochloride;;ZS159;imidate;~30 g;34.430;fridge 1;2;;;N=C(OC)C1=CC=CC=C1.Cl
methyl 4-(imino(methoxy)methyl)benzoate hydrochloride;;ZS185;imidate;640 mg;34.430;fridge 1;2;;;N=C(OC)C1=CC=C(C(OC)=O)C=C1.Cl
methyl 4-methoxybenzimidate hydrochloride;;ZS171;imidate;~1 g;34.430;fridge 1;2;;;N=C(OC)C1=CC=C(OC)C=C1.Cl
(2R,3R,4S,5S)-tetrahydro-2H-pyran-2,3,4,5-tetraol;;alpha-L-arabinopyranose;Arabinose;~1 g;34.430;fridge 1;2;;;O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O
(2R,3R,4R)-2,3,4,5-tetrahydroxypentanal;;D-(?)-Ribose;Ribose;25 g;34.430;fridge 1;2;;;OC[C@H]([C@H]([C@H](C([H])=O)O)O)O
L-Fucose;;6-Deoxy-L-galactose;L-Fucose;5 g;34.430;fridge 1;2;;;C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O
(2S,3R,4R,5R)-5-(acetoxymethyl)tetrahydrofuran-2,3,4-triyl triacetate;;?-D-Ribofuranose 1,2,3,5-tetraacetate;1,2,3,5-Tetra-O-acetyl-?-D-ribofuranose;;34.430;fridge 1;2;;;CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
(2S,3R,4R,5R)-tetrahydro-2H-pyran-2,3,4,5-tetrayl tetraacetate;;?-D-Ribopyranose 1,2,3,4-tetraacetate;1,2,3,4-Tetra-O-acetyl-?-D-ribopyranose;;34.430;fridge 1;2;;;CC(O[C@@H]1CO[C@H]([C@@H]([C@@H]1OC(C)=O)OC(C)=O)OC(C)=O)=O
(2R,3R,4S,5S)-6-oxohexane-1,2,3,4,5-pentayl pentaacetate;;Mannose pentaacetate;1,2,3,4,6-Penta-O-acetyl-mannopyranose;;34.430;fridge 1;2;;;CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
(2R,3S,4R,5S,6S)-6-methyltetrahydro-2H-pyran-2,3,4,5-tetraol;;?-L-Fucose;6-Deoxy-L-galactose;;34.430;fridge 1;2;;;O[C@H]1[C@H]([C@@H]([C@@H]([C@H](C)O1)O)O)O
(3R,4S,5R,6R)-6-(acetoxymethyl)-5-(1-hydroxyethoxy)tetrahydro-2H-pyran-2,3,4-triyl triacetate;;Glucose pentaacetate;Penta-O-acetyl-glucopyranose;2 x 5 g;34.430;fridge 1;2;;;CC(O)O[C@@H]1[C@@H](COC(C)=O)O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
4-(phenyldiazenyl)aniline;;4-Aminoazobenzene;4-Phenylazoaniline;25 g;34.430;fridge 1;2;;;Nc1ccc(cc1)\N=N/c2ccccc2
4-(phenyldiazenyl)benzoic acid;;4-(Phenylazo)benzoic acid;;1 g;34.430;fridge 1;2;;;OC(=O)c1ccc(cc1)\N=N\c2ccccc2
ethyl 2-(pyrazin-2-ylamino)acetate;;;MID-346;;34.430;fridge 1;2;;;O=C(OCC)CNC1=NC=CN=C1
2-((3-bromopyridin-2-yl)amino)acetic acid hydrochloride;;;MID-279;;34.430;fridge 1;2;;;BrC1=CC=CN=C1NCC(O)=O.Cl
2-(pyrazin-2-ylamino)acetic acid hydrochloride;;;MID-354;;34.430;fridge 1;2;~90% purity;;O=C(O)CNC1=NC=CN=C1.Cl
2-((5-bromopyridin-2-yl)amino)acetic acid hydrochloride;;;MID-280;;34.430;fridge 1;2;;;BrC1=CN=C(NCC(O)=O)C=C1.Cl
(Z)-4-(4-methoxybenzylidene)-2-methyloxazol-5(4H)-one;;;M2989;;34.430;fridge 1;2;;;COC1=CC=C(/C=C2C(OC(C)=N/2)=O)C=C1
2-((4-methylpyridin-2-yl)amino)acetic acid hydrochloride;;;MID-296 + MID-355;2 x ;34.430;fridge 1;2;;;CC1=CC(NCC(O)=O)=NC=C1.Cl
N-methyl-2-((triphenylphosphoranylidene)amino)acetamide;;;MID-239;~50 g;34.430;fridge 1;2;;;O=C(NC)CN=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
3-amino-N-(2-aminoethyl)benzamide;;;M2815;~10 ml;34.430;fridge 1;2;;;NC1=CC(C(NCCN)=O)=CC=C1
O-(tert-Butyldimethylsilyl)hydroxylamine;;M2780;Aminoxy-tert-butyldimethylsilane;10 g;34.430;fridge 1;4;;;CC(C)(C)[Si](C)(C)ON
5-bromo-2-thiophene-carbaldehyde;;5-Bromothenaldehyde;;;34.430;fridge 1;4;;;BrC1=CC=C(S1)C=O
Bromoethane;;Ethyl bromide;;250 ml;34.430;fridge 1;4;;;CCBr
N-(Methoxymethyl)-N-(trimethylsilylmethyl)benzylamine;;;N-benzyl-1-methoxy-N-((trimethylsilyl)methyl)methanamine;45 ml;34.430;fridge 1;4;;;COCN(CC1=CC=CC=C1)C[Si](C)(C)C
Methyl 2-(3-oxetanylidene)acetate;;SAI-140;Methyl 2-(oxetan-3-ylidene)acetate;1 g;34.430;fridge 1;4;;;COC(=O)C=C1COC1
Methyl 2-pyridylacetate;;SAI-338;;2 ml;34.430;fridge 1;4;;1658-42-0;COC(=O)CC1=NC=CC=C1
N-Benzylhydroxylamine;;SAI-51;;? 30 g;34.430;fridge 1;4;;;ONCC1=CC=CC=C1
(Diacetoxyiodo)benzene;;Iodobenzene I,I-diacetate;BAIB;2 g + 500 g + 100 g;34.430;fridge 1;4;;;CC(=O)O[I](OC(C)=O)C1=CC=CC=C1
Pyrrole-2-carboxaldehyde;;2-Formylpyrrole;;10 g;34.430;fridge 1;4;;;O=CC1=CC=CN1
Pyrrole-2-carboxaldehyde;;2-Formylpyrrole;;100 g;34.430;fridge 1;4;ACROS;;O=CC1=CC=CN1
Furfural;;Furan-2-carboxaldehyde;2-Furaldehyde;500 g +250 g;34.430;fridge 1;4;;;O=CC1=CC=CO1
5-bromo-2-Thiophenecarboxaldehyde;;;;;34.430;fridge 1;4;;;BrC1=CC=C(S1)C=O
2-Thiophenecarboxaldehyde;;;Thenaldehyde;100 g;34.430;fridge 1;4;;;O=CC1=CC=CS1
5-Methyl-2-thiophenecarboxaldehyde;;;;50 g;34.430;fridge 1;4;;;CC1=CC=C(S1)C=O
Sodium bis(trimethylsilyl)amide 2 M in THF;;Hexamethyldisilazane sodium salt;NaHMDS;2 x 100 ml;34.430;fridge 1;4;;;C[Si](C)(C)N([Na])[Si](C)(C)C
Trifluoromethanesulfonic anhydride;;Triflic anhydride;Tf2O;2 x 5 ml;34.430;fridge 1;4;Ampule;;FC(F)(F)S(=O)(=O)OS(=O)(=O)C(F)(F)F
Boron trifluoride diethyl etherate;BF3 · O(C2H5)2;Boron trifluoride ethyl etherate;BF3 · O(C2H5)2;1 L;34.430;fridge 1;4;;;FB(F)F.CCOCC
Iodomethane;CH3I;Methyl iodide;CH3I;1 L;34.430;fridge 1;4;;;CI
2-Nitroethanol;;;;25 g;34.430;fridge 1;4;;;OCC[N+]([O-])=O
Dithiothreitol;;1,4-Dimercapto-2,3-butanediol;DTT;3 x 5 g;34.430;fridge 1;4;;;O[C@H](CS)[C@H](O)CS
ethyl 2-cyclopentylideneacetate;;;;10 g;34.430;fridge 1;4;;;CCOC(=O)C=C1CCCC1
Phenylboronic acid;;Phenylboric acid;PhB(OH)2;50 g;34.430;fridge 1;4;;;OB(O)C1=CC=CC=C1
Trifluoromethanesulfonic acid;;Triflic acid;TfOH;2 x 50 g;34.430;fridge 1;4;Ampule;;OS(=O)(=O)C(F)(F)F
Potassium thioacetate;;Thioacetic acid potassium salt;AcSK;250 g + 200 g;34.430;fridge 1;4;;;[K+].CC([O-])=S
ethyl propiolate;;Ethyl acetylenecarboxylate;;4 x 25 g;34.430;fridge 1;4;;;CCOC(=O)C#C
thiophene-2-carbaldehyde;;;;;34.430;fridge 1;4;;;O=CC1=CC=CS1
Methyl oleate;;;;;34.430;fridge 1;4;;;CCCCCCCC\C=C/CCCCCCCC(=O)OC
Dimexide;;;DMSO;2 x 100 ml;34.430;fridge 1;door 1;apteka;;CS(C)=O
Dimethyl sulfoxide-d6;DMSO-d6;DMSO-d6;;4 x 500 g;34.430;fridge 1;door 1;;;[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H]
N,N-Dimethylformamide diethyl acetal;;1,1-Diethoxytrimethylamine;DMF-DEA;5 g;34.430;fridge 1;door 2;;;CCOC(OCC)N(C)C
N,N-Dimethyl-1,3-dioxolan-2-amine;;N,N-Dimethylformamide ethylene acetal;DMF-ethylene glycol acetal;1 g;34.430;fridge 1;door 2;;;CN(C)C1OCCO1
11H-Indolo[3,2-c]quinoline;;;;0.5 g;34.430;fridge 1;door 2;;;N1C2=C(C=CC=C2)C2=CN=C3C=CC=CC3=C12
(6-Bromohexyloxy)-tert-butyldimethylsilane;;(6-Bromohexyloxy)-tert-butyldimethylsilane;;2 g;34.430;fridge 1;door 2;;;CC(C)(C)[Si](C)(C)OCCCCCCBr
4-methoxybenzaldehyde oxime;;p-Anisaldehyde oxime;;1 g;34.430;fridge 1;door 2;;;COC1=CC=C(C=NO)C=C1
Ethyl 6-bromohexanoate;;Ethyl 6-bromocapronate;;0.5 g + 2x100 g;34.430;fridge 1;door 3;;;CCOC(=O)CCCCCBr
Oxalyl chloride;;Ethanedioyl dichloride;;100 g;34.430;fridge 1;door 3;;;ClC(=O)C(Cl)=O
1,1?-Carbonyldiimidazole;;;CDI;500 g;34.430;fridge 1;door 4;;;O=C(N1C=CN=C1)N1C=CN=C1
Di-tert-butyl dicarbonate;;Boc anhydride;Boc2O;5 x 1 kg;34.428;fridge 1;2;;;CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
Butylamine;;1-Aminobutane;n-Butylamine;1.5 l;34.430;hood 1;2;;;CCCCN
Methylamine in Isopropyl alcohol 35%;CH3NH2*i-PrOH;;;250 ml;34.430;hood 1;2;;;CN
Hexadecane;C16H34;;;20 ml;34.430;hood 1;2;;;CCCCCCCCCCCCCCCC
Pentadecane;C15H32;;;20 ml;34.430;hood 1;2;;;CCCCCCCCCCCCCCC
Dodecane;C12H26;;;20 ml;34.430;hood 1;2;;;CCCCCCCCCCCC
Octane;C8H18;;;20 ml;34.430;hood 1;2;;;CCCCCCCC
Decane;C10H22;;;20 ml;34.430;hood 1;2;;;CCCCCCCCCC
Triethylamine;;;Et3N;500 ml;34.430;hood 1;2;;;CCN(CC)CC
Ethylenediamine diacetate;;;NH2CH2CH2NH2 x AcOH;20 g;34.430;hood 1;2;;;CC(O)=O.CC(O)=O.NCCN
Imidazole;;;;100 g;34.430;hood 1;2;;;N1C=CN=C1
N,N-Diisopropylethylamine;;Hunigs base;DIPEA;50 ml;34.430;hood 1;2;;;CCN(C(C)C)C(C)C
Piperidine;;Hexahydropyridine;;50 ml;34.430;hood 1;2;;;C1CCNCC1
Pyrrolidine;;;;5 ml;34.430;hood 1;2;;;C1CCNC1
Pd/C 10%;;Palladium on carbon 10 % wt;Palladium on carbon 10 % wt;~100 g;34.430;hood 1;2;;;[Pd]
Manganese(IV) oxide;MnO2;Manganese  dioxide;MnO2;10 g;34.430;hood 1;1;;;O=[Mn]=O
15-Crown-5;;1,4,7,10,13-Pentaoxacyclopentadecane;;25 g;34.430;hood 1;1;;;C1COCCOCCOCCOCCO1
Tetrabutylammonium fluoride trihydrate;;;TBAF;300 g;34.430;hood 1;1;;;O.O.O.[F-].CCCC[N+](CCCC)(CCCC)CCCC
Calcium hydride;CaH2;CaH2;;2 x 100 g ;34.430;hood 1;1;;;[H-].[H-].[Ca++]
Chloroplatinic acid  ;H2PtCl6;Hexachloroplatinic(IV) acid ;H2PtCl6;1 g;34.430;hood 1;1;;;[H+].[H+].Cl.Cl.Cl.Cl.Cl.Cl.[Pt--]
Zinc chloride anhydrous;ZnCl2;Zinc chloride anhydrous;ZnCl2;40 g;34.430;hood 1;1;;;[Cl-].[Cl-].[Zn++]
Hydrogen chloride solution in dioxane ~5.4 M;HCl in dioxane;HCl in dioxane;;1 L;34.430;hood 1;1;;;Cl[H].C1COCCO1
Magnesium turnings;Mg;Mg;;1 kg;34.430;hood 1;1;;;[Mg]
Palladium on activated charcoal 5 %;Pd/C;Pd/C;;10 g;34.430;hood 1;1;;;[Pd]
Ninhydrin;;;;50 g;34.430;hood 2;1;;;OC1(O)C(=O)C2=CC=CC=C2C1=O
2,4-Dinitrophenylhydrazine;;(2,4-Dinitrophenyl)hydrazine;DNP;50 g;34.430;hood 2;1;;;c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NN
Formic acid;HCOOH;HCOOH;;1 L;34.430;hood 2 acids;1;;;OC=O
Boron tribromide;BBr3 ;BBr3 ;;500 g + 2 x 1 g;34.430;2;1;Sigma + ampule;;BrB(Br)Br
Boron tribromide solution in DCM 1 M;BBr3 ;BBr3 ;;100 ml;34.430;2;1;;;BrB(Br)Br
Trifluoroacetic acid ;TFA;TFA;;;34.430;2;1;;;OC(=O)C(F)(F)F
Triethylphosphine;;PEt3;PEt3;5 g;34.430;2;1;Ampule;;CCP(CC)CC
Thiophosgene;CSCl2;CSCl2;;50 ml;34.430;2;1;;;ClC(Cl)=S
Phosphorus tribromide;PBr3;Phosphorus(III) bromide;;0.5 L + 20 ml;34.430;2;1;;;BrP(Br)Br
Potassium acetate anhydrous;CH3COOK;KOAc;AcOK;500 g;34.430;4;;;;[K+].CC([O-])=O
Manganese(II) sulfate hydrate;MnSO4 * 5H2O;Manganous(II) sulfate hydrate;MnSO4 * 5H2O;1 kg;34.430;4;;;;O.[Mn++].[O-]S([O-])(=O)=O
"Ethylenediaminetetraacetic acid disodium salt dihydrate
";;EDTA disodium salt dihydrate;Trilon B;500 g;34.430;4;;;;[H+].[H+].O.O.[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
Sodium acetate anhydrous;CH3COONa;NaOAc;CH3COONa;500 g;34.430;4;;;;[Na+].CC([O-])=O
Sodium sulfite;Na2SO3;;Na2SO3;100 g;34.430;4;;;;[Na+].[Na+].[O-]S([O-])=O
Sodium carbonate;Na2CO3;Calcined soda;Na2CO3;1 kg;34.430;4;;;;[Na+].[Na+].[O-]C([O-])=O
Nitric acid, 70%;HNO3;;HNO3;1 L;34.430;1;1;;;O[N+]([O-])=O
Nitric acid fuming;HNO3;;HNO3;1 L;34.430;1;1;;;O[N+]([O-])=O
Hydrofluoric acid;HF;HF;HF;250 ml;34.430;1;1;;;F
HBr in acetic acid 6M;HBr AcOH;HBr AcOH;HBr AcOH;0.5 L;34.430;1;1;;;Br
Thionyl chloride;SOCl2;SOCl2;SOCl2;~10 mL + 2.5 L;34.430;1;1;;;ClS(Cl)=O
Phosphorus oxychloride;POCl3;Phosphoryl chloride;;2 x 1 L;34.430;1;1;;;ClP(Cl)(Cl)=O
Sulfuryl chloride;SO2Cl2;;SO2Cl2;1 L;34.430;1;1;;;ClS(Cl)(=O)=O
Phosphorus trichloride;PCl3;;PCl3;2.5 L;34.430;1;1;;;ClP(Cl)Cl
Acetic acid;CH3COOH;CH3COOH;AcOH;1 L;34.430;1;1;;;CC(O)=O
Sulfuric acid;H2SO4;H2SO4;;1 L;34.430;1;1;;;OS(O)(=O)=O
Acetyl chloride;CH3COCl;CH3COCl;AcCl;1.5 L;34.430;1;1;;;CC(Cl)=O
Potassium iodide;KI;KI;KI;5-10 g;34.430;4;;;;[K+].[I-]
4-Pyridinecarboxaldehyde;;Isonicotinaldehyde;;90 g + 3 g;34.522;freezer;2;;;O=CC1=CC=NC=C1
Triethyloxonium tetrafluoroborate;;Et3O*BF4;;100 g + 1 g;34.522;freezer;2;good;;F[B-](F)(F)F.CC[O+](CC)CC
ethyl 2-azidoacetate;;N3CH2COOEt;MID227+MID232;70 ml;34.522;freezer;2;;;CCOC(=O)CN=[N+]=[N-]
ethyl benzylglycinate;;BnNHCH2COOEt;;20 ml;34.522;freezer;2;hand made;;O=C(OCC)CNCC1=CC=CC=C1
4-(dimethoxymethyl)phenyl 4-methylbenzoate;;;SH026;5 g;34.522;freezer;2;;;O=C(OC1=CC=C(C(OC)OC)C=C1)C2=CC=C(C)C=C2
methyl 4-bromobut-2-enoate;;;;3 g;34.522;freezer;2;ןונודם.;;O=C(OC)/C=C/CBr
4-((dimethoxyphosphoryl)(methoxy)methyl)phenyl 4-methylbenzoate;;;SH030;1 g;34.522;freezer;2;;;O=C(OC1=CC=C(C(P(OC)(OC)=O)OC)C=C1)C2=CC=C(C)C=C2
ethyl 2-((1-methoxyethylidene)amino)acetate;;לועטכמגûי טלטהאע;;40 g;34.522;freezer;2;;;O=C(OCC)C/N=C(OC)\C
ethyl 2-((1-methoxypropylidene)amino)acetate;;‎עטכמגûי טלטהאע;;20 g;34.522;freezer;2;;;O=C(OCC)C/N=C(OC)/CC
Ethyl nitroacetate;;Ethyl nitroacetate;;100 ml;34.522;freezer;2;;;CCOC(=O)C[N+]([O-])=O
Boron trifluoride etherate;BF3*Et2O;BF3*Et2O;;50 ml;34.522;fridge;2;dist.;;FB(F)F.CCOCC
NaOCl*H2O;;Chlorka GOST 11086-76;;1 l;34.522;fridge;2;;;
Oxalyl dichloride;(COCl)2;(COCl)2;Oxalylchloride;50 ml;34.522;fridge;2;;;ClC(=O)C(Cl)=O
Trimethylsilylacetylene;HCCSi(CH3)3;TMS-acetylene;;20 ml + 2 x 500 ml;34.522;fridge;2;;;C[Si](C)(C)C#C
Trimethylphosphite;P(OMe)3;P(OMe)3;;20 ml;34.522;fridge;2;;;COP(OC)OC
phenylmethanethiol;BnSH;Benzyl thiol;;50 ml;34.522;fridge;2;;;SCC1=CC=CC=C1
Tosyl methyl glycine;TsNHCH2COOCH3;TsNHCH2COOCH3;;200 g;34.522;fridge;2;made in China;;CC1=CC=C(C=C1)S(=O)(=O)COC(=O)CN
perfluoropyridine;;pentafluoropyridine;;2 g;34.522;fridge;2;;;FC1=NC(F)=C(F)C(F)=C1F
Methyl iodide;CH3I;CH3I;;400 ml;34.522;fridge;2;;;CI
Phenyl isocyanate;PhNCO;PhNCO;;70 ml;34.522;fridge;2;;;O=C=NC1=CC=CC=C1
Methyl anthranilate;;methyl 2-aminobenzoate;;20 ml;34.522;fridge;2;hand made;;NC1=CC=CC=C1C(OC)=O
Na2S*xH2O;;Sodium sulfide;;5 g;34.522;fridge;2;;;
N-Ethylmethylamine;MeEtNH;;;10 ml;34.522;fridge;2;;;CNCC
Iodomethane-d3;CD3I;Methyl iodide deuterated;;3 ml;34.522;fridge;2;hand made;;IC([2H])([2H])[2H]
hydrogen peroxide;H2O2;;;200 ml;34.522;fridge;2;medical ~30%;;OO
5'-Bromo-2'-hydroxyacetophenon;;;;80 g;34.522;fridge;3;made in China;;CC(=O)C1=C(O)C=CC(Br)=C1
2-amino-5-hydroxybenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=C(O)C=C1)C(O)=O
2-amino-3-methylbenzoic acid;;;;25 g;34.522;fridge;5;;;CC1=CC=CC(C(O)=O)=C1N
2-amino-5-methylbenzoic acid;;;;25 g;34.522;fridge;5;;;CC1=CC(C(O)=O)=C(N)C=C1
2-amino-5-fluorobenzoic acid;;;;2x25 g;34.522;fridge;5;;;NC1=C(C=C(F)C=C1)C(O)=O
2-amino-6-fluorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C(O)=O)C(F)=CC=C1
2-amino-5-bromobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=C(Br)C=C1)C(O)=O
2-amino-4-chlorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=CC(Cl)=C1)C(O)=O
2-Amino-4-bromobenzoic acid;;cas 20776-50-5;;25 g;34.522;fridge;5;;;NC1=C(C=CC(Br)=C1)C(O)=O
Ethyl 5-nitro-2-furoate;;;;20 g;34.522;fridge;3;;;CCOC(=O)C1=CC=C(O1)[N+]([O-])=O
3,5-dibromopyrazin-2-amine;;;;3 g;34.522;fridge;4;;;NC1=C(Br)N=C(Br)C=N1
Trimethyl phosphonoacetate;;;;100 ml;34.522;fridge;4;;;COC(=O)C(C)(C)P(O)(O)=O
tert-butyl diethylphosphonoacetate;;;;2x20 ml;34.522;fridge;4;;;CCOP(=O)(CC(=O)OC(C)(C)C)OCC
S-(3-cyanobenzyl) O-ethyl carbonodithioate;;;M3134F;2 g;34.522;fridge;4;;;CCOC(=S)SCc1cccc(c1)C#N
S-(3,5-difluorobenzyl) O-ethyl carbonodithioate;;;M3434D;1 g;34.522;fridge;4;;;CCOC(=S)SCc1cc(F)cc(F)c1
S-butyl O-ethyl carbonodithioate;;;M3195A;0.5 g;34.522;fridge;4;;;CCCCSC(=S)OCC
O-ethyl S-(4-nitrobenzyl) carbonodithioate;;;M3135D;4 g;34.522;fridge;4;;;CCOC(=S)SCc1ccc(cc1)[N+]([O-])=O
O-ethyl S-(3-methylbenzyl) carbonodithioate;;;M3134C;2 g;34.522;fridge;4;;;CCOC(=S)SCc1cccc(C)c1
O-ethyl S-(4-bromobenzyl) carbonodithioate;;;M3133C;3 g;34.522;fridge;4;;;CCOC(=S)SCc1ccc(Br)cc1
O-ethyl S-(3-chlorobenzyl) carbonodithioate;;;M3194B;5 g;34.522;fridge;4;;;CCOC(=S)SCc1cccc(Cl)c1
S-methyl O-ethyl carbonodithioate;;;M3136A;1 g;34.522;fridge;4;;;CCOC(=S)SC
S-ethyl O-ethyl carbonodithioate;;;M3136B;2 g;34.522;fridge;4;;;CCOC(=S)SCC
S-(cyanomethyl) O-ethyl carbonodithioate;;;M3141E;1 g;34.522;fridge;4;;;CCOC(=S)SCC#N
O-ethyl S-(prop-2-yn-1-yl) carbonodithioate;;;M3141A;2 g;34.522;fridge;4;;;CCOC(=S)SCC#C
S-hexyl O-ethyl carbonodithioate;;;M3136D;3 g;34.522;fridge;4;;;CCCCCCSC(=S)OCC
methyl 2-((ethoxycarbonothioyl)thio)acetate;;;M3154;3 g;34.522;fridge;4;;;CCOC(=S)SCC(=O)OC
O-ethyl S-(4-methylbenzyl) carbonodithioate;;;M3134B;1 g;34.522;fridge;4;;;CCOC(=S)SCc1ccc(C)cc1
methyl 3-(((ethoxycarbonothioyl)thio)methyl)benzoate;;;M3141C;1 g;34.522;fridge;4;;;CCOC(=S)SCc1cccc(c1)C(=O)OC
S-([1,1'-biphenyl]-2-ylmethyl) O-ethyl carbonodithioate;;;M3140A;2 g;34.522;fridge;4;;;CCOC(=S)SCc1ccccc1c2ccccc2
ethyl 2-((ethoxycarbonothioyl)thio)acetate;;;M3141C;3 g;34.522;fridge;4;;;CCOC(=O)CSC(=S)OCC
O-ethyl S-(4-methoxybenzyl) carbonodithioate;;;M3135B;2 g;34.522;fridge;4;;;CCOC(=S)SCc1ccc(OC)cc1
O-ethyl S-(3-bromobenzyl) carbonodithioate;;;M3134E;4 g;34.522;fridge;4;;;CCOC(=S)SCc1cccc(Br)c1
O-ethyl S-(4iodobenzyl) carbonodithioate;;;M3133D;2 g;34.522;fridge;4;;;CCOC(=S)SCc1ccc(I)cc1
S-((3,5-dimethylisoxazol-4-yl)methyl) O-ethyl carbonodithioate;;;M3140D;1 g;34.522;fridge;4;;;CCOC(=S)SCc1c(C)onc1C
O-ethyl S-(2-methylallyl) carbonodithioate;;;M3141C;1 g;34.522;fridge;4;;;CCOC(=S)SCC(C)=C
S-allyl O-ethyl carbonodithioate;;;M3140B;0.5 g;34.522;fridge;4;;;CCOC(=S)SCC=C
